,Swing Type,MinWX,MaxWX,MinWY,MaxWY,MinWZ,MaxWZ,MinAX,MaxAX,MinAY,MaxAY,MinAZ,MaxAZ
133,2,-1566.4063,1334.5337,-1848.3887,1998.9014,-1998.7183,1940.0024,-12.314,4.1221,-10.2119,0.8979,-12.6929,8.0752
134,2,-1862.915,1317.688,-1850.0366,1998.1079,-1998.7183,1621.7041,-15.5439,15.7686,-11.8936,0.9126,-15.0254,9.3237
135,2,-1729.4922,1288.4521,-1816.5894,1997.6196,-1998.7183,1921.1426,-14.7822,6.1011,-13.0908,1.147,-13.4531,11.0708
136,2,-1712.0361,1350.2808,-1853.5767,1998.1079,-1998.7183,1558.0444,-13.2705,4.7173,-11.2031,0.8677,-14.6484,9.3667
137,2,-1640.686,1297.7905,-1817.749,1998.1079,-1998.7183,1947.998,-14.2407,5.2212,-10.7866,0.9707,-14.6567,9.313
138,2,-1405.2124,1213.9893,-1858.7646,1998.1079,-285.2783,1870.4834,-10.8457,4.3823,-8.6538,0.8462,-11.5029,7.7822
139,2,-1695.3125,1279.6631,-1966.8579,1998.1079,-343.9331,1995.2393,-13.3369,4.4478,-10.4253,0.8838,-13.749,8.2837
140,2,-1876.6479,1307.1899,-1796.9971,1998.1079,-1998.7183,1671.5088,-14.8032,15.792,-15.7305,0.7656,-13.1675,9.8706
141,2,-1531.311,1213.1958,-1829.7119,1998.1079,-267.1509,1908.02,-11.6504,4.8525,-9.1636,0.8145,-11.6328,8.0234
142,2,-1639.0381,1244.6289,-1703.064,1998.1079,-1998.7183,1839.3555,-13.0264,6.377,-10.9707,0.9683,-14.7173,8.7627
143,2,-1506.5308,1240.1123,-1738.2202,1998.1079,-320.5566,1956.7871,-11.5278,4.29,-8.4565,0.8809,-11.9097,7.6606
144,2,-1641.3574,1311.4014,-1750.1831,1998.1079,-1998.7183,1786.6211,-15.0278,6.2593,-11.7251,0.9575,-14.8438,8.6338
145,2,-1450.5005,1080.4443,-1939.8193,1998.1079,-291.687,1765.8691,-10.5195,3.8096,-7.9478,0.8623,-10.9419,7.751
146,2,-1723.877,1189.3921,-1889.5264,1998.1079,-1998.7183,1833.5571,-15.1118,5.5991,-12.1567,0.7666,-14.8809,9.604
147,2,-1537.2925,1258.1787,-1911.7432,1998.1079,-1998.7183,1873.6572,-12.915,4.9043,-10.4453,0.8525,-12.9673,8.3223
148,2,-1414.978,1326.0498,-1975.647,1998.1079,-242.3096,1932.9224,-10.8462,4.5073,-10.0034,1.0767,-9.8809,7.9995
149,2,-1631.4697,1316.1011,-1807.9224,1998.1079,-1998.7183,1940.1245,-12.7095,5.6523,-11.1416,0.8066,-14.1289,8.2832
150,2,-1514.5874,1215.5762,-1958.0688,1998.1079,-1998.7183,1772.644,-12.9927,5.5591,-12.2031,1.2354,-13.3452,9.5313
151,2,-1557.1289,1310.3027,-1999.3286,1999.0234,-1998.7183,1479.187,-12.8296,4.5439,-10.813,0.9453,-13.9658,8.4766
152,2,-1429.1992,1267.7002,-1887.6953,1998.1079,-1998.7183,1729.248,-13.2998,6.0366,-11.3335,0.895,-13.166,9.1157
153,2,-1539.0625,1291.4429,-1715.5762,1998.1079,-356.1401,1952.7588,-13.397,4.542,-11.7402,0.9253,-10.1504,9.1064
154,2,-1844.3604,1383.8501,-1750.4883,1998.1079,-1998.7183,1942.8101,-15.9292,15.7046,-14.0298,0.9575,-15.0239,11.0972
155,2,-1614.1968,1348.877,-1926.5137,1998.1079,-1999.2676,1457.2144,-15.2759,6.0942,-12.9385,1.0562,-14.5215,10.4019
